,Model,Best_model_params,RMSE,R2,Top_20_genes_pc1
BRD-K27188169,ElasticNet,"{'alpha': 1.0, 'l1_ratio': 0.5}",0.6148078006365771,-0.10704202128961904,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT5', 'KRT17', 'KRT19', 'AC107016.2', 'KRT8', 'FTH1', 'KRT18', 'KRT14']"
BRD-K27188169:navitoclax (2:1 mol/mol),CatBoostRegressor,"{'depth': 6, 'iterations': 300, 'learning_rate': 0.01}",2.035538718433003,0.046482733427542944,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT5', 'KRT17', 'KRT14', 'KRT19', 'FTH1', 'MTND1P23', 'CTD-2328D6.1', 'S100A11']"
BRD-K27224038,CatBoostRegressor,"{'depth': 8, 'iterations': 300, 'learning_rate': 0.01}",0.7304220306727842,0.01163727792235425,"['MT-CO1', 'MT-CO2', 'MT-RNR2', 'MT-ND2', 'MT-ND1', 'MT-CYB', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'MTND1P23', 'KRT19', 'MT-TS1', 'MMP7', 'LCN2', 'CD24P4', 'GSTP1', 'SPINT2']"
BRD-K27986637,SVR,"{'C': 0.001, 'kernel': 'linear'}",0.6748531181976184,-0.089689771370002,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT17', 'KRT5', 'RP5-857K21.7', 'KRT19', 'MTND1P23', 'KRT14', 'CD24P4', 'F3']"
BRD-K28456706,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.1}",1.1427188667839556,0.0036137106320824897,"['MT-CO1', 'MT-CO2', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT19', 'AC107016.2', 'KRT5', 'KRT14', 'KRT18', 'KRT8', 'KRT6A']"
BRD-K29086754,SVR,"{'C': 0.001, 'kernel': 'rbf'}",0.8732091037708194,-0.08810754053564929,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT19', 'RP5-857K21.7', 'KRT17', 'MMP7', 'CD24P4', 'GSTP1', 'SPINT2', 'LCN2']"
BRD-K29313308,KNeighborsRegressor,{'n_neighbors': 9},1.2995904482209562,0.01629184690666141,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT17', 'KRT8', 'KRT18', 'KRT5', 'AC107016.1', 'MT-TS1']"
BRD-K30019337,ElasticNet,"{'alpha': 1.0, 'l1_ratio': 0.5}",0.736742597688579,-0.12290972798720001,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'RP5-857K21.7', 'MTND1P23', 'KRT19', 'MT-TS1', 'MMP7', 'CD24P4', 'LCN2', 'PSAP']"
BRD-K30748066,LinearRegression,{'fit_intercept': True},1.4102961986740499,0.20195540320266026,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND3', 'MT-ND6', 'MT-ND1', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'MT-TS1', 'S100A9', 'AC107016.2', 'KRT17', 'KRT8', 'KRT18', 'KRT19', 'S100A7']"
BRD-K33199242,CatBoostRegressor,"{'depth': 8, 'iterations': 200, 'learning_rate': 0.01}",0.8521734618058506,-0.09035019620675766,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'AC107016.2', 'KRT19', 'KRT17', 'KRT18', 'KRT8', 'KRT5', 'KRT14', 'LCN2']"
BRD-K33514849,KNeighborsRegressor,{'n_neighbors': 9},0.8878144504341177,-0.1489799217429033,"['MT-CO1', 'MT-CO2', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND3', 'MT-ND6', 'MT-ND1', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'MT-TS1', 'S100A9', 'AC107016.2', 'KRT17', 'KRT8', 'KRT18', 'S100A7', 'KRT19']"
BRD-K34099515,KNeighborsRegressor,{'n_neighbors': 9},1.5677699261925406,-0.03419409619470959,"['MT-CO1', 'MT-CO2', 'MT-RNR2', 'MT-ND2', 'MT-ND1', 'MT-CYB', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'MTND1P23', 'KRT19', 'MMP7', 'KRT17', 'CD24P4', 'ALDH1A1', 'SPINT2', 'KRT5']"
BRD-K34222889,RandomForestRegressor,"{'max_depth': 7, 'n_estimators': 200}",1.2842886514313592,0.3041454083739812,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'KRT17', 'KRT5', 'AC107016.2', 'KRT14', 'KRT6A', 'KRT18', 'LCN2']"
BRD-K34485477,RandomForestRegressor,"{'max_depth': 3, 'n_estimators': 100}",0.9442223455337696,-0.06294232931662025,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'RP5-857K21.7', 'KRT17', 'KRT19', 'MTND1P23', 'MT-TS1', 'CD24P4', 'KRT5', 'TACSTD2']"
BRD-K35604418,LinearRegression,{'fit_intercept': True},1.2352514916017276,0.1163229732117037,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'AC107016.2', 'KRT19', 'KRT17', 'KRT5', 'KRT8', 'KRT18', 'FTH1', 'MT-TS1']"
BRD-K37390332,SVR,"{'C': 0.1, 'kernel': 'rbf'}",0.8511356683567146,-0.09071525700578809,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT19', 'KRT14', 'KRT5', 'AC107016.2', 'KRT6A', 'MT-TS1', 'S100A9']"
BRD-K41334119,CatBoostRegressor,"{'depth': 8, 'iterations': 100, 'learning_rate': 0.01}",0.6949499238145941,-0.1778840083366542,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT5', 'KRT17', 'KRT14', 'MTND1P23', 'KRT19', 'MT-TS1', 'KRT6A', 'GSTP1']"
BRD-K41597374,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.1}",0.7557893375812115,0.029652180896123315,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT5', 'KRT17', 'FTH1', 'KRT14', 'KRT19', 'KRT6A', 'AC107016.2', 'KRT8']"
BRD-K42260513,SVR,"{'C': 0.001, 'kernel': 'linear'}",1.0812080984908687,-0.10511281347539292,"['MT-CO1', 'MT-CO2', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT5', 'KRT14', 'KRT6A', 'KRT19', 'S100A9', 'AC107016.2', 'MT-TS1']"
BRD-K44224150,Ridge,{'alpha': 1000.0},1.4785544917906834,-0.04530611714456856,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'RP5-857K21.7', 'MTND1P23', 'KRT19', 'KRT17', 'CD24P4', 'MT-TS1', 'MMP7', 'GSTP1']"
BRD-K45681478,LinearRegression,{'fit_intercept': True},1.2648158678452448,0.07247536251418218,"['MT-CO1', 'MT-CO2', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT17', 'KRT5', 'KRT18', 'KRT8', 'KRT6A', 'KRT14']"
BRD-K48334597,CatBoostRegressor,"{'depth': 6, 'iterations': 200, 'learning_rate': 0.01}",0.9959472278583269,-0.016498067575689168,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT5', 'KRT17', 'KRT14', 'MTND1P23', 'KRT19', 'MT-TS1', 'KRT6A', 'GSTP1']"
BRD-K48477130,LinearRegression,{'fit_intercept': True},0.7183701367632567,0.026638735586209106,"['MT-CO1', 'MT-CO2', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT5', 'KRT19', 'KRT6A', 'KRT14', 'AC107016.2', 'TACSTD2', 'S100A11']"
BRD-K49290616,ElasticNet,"{'alpha': 1.0, 'l1_ratio': 0.1}",0.6955560506351955,-0.08486499097685996,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-ND1', 'MT-CYB', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'MTND1P23', 'RP5-857K21.7', 'KRT19', 'MT-TS1', 'KRT17', 'MMP7', 'KRT5', 'LCN2']"
BRD-K50799972,SVR,"{'C': 0.001, 'kernel': 'linear'}",0.8390149970573632,-0.050516407234758365,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT19', 'AC107016.2', 'KRT5', 'FTH1', 'KRT8', 'KRT6A', 'KRT18']"
BRD-K51490254,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.1}",0.9729550911462754,-0.008073952498220738,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT19', 'AC107016.2', 'KRT5', 'KRT8', 'KRT18', 'KRT6A', 'LCN2']"
BRD-K51831558,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.7431435845786041,-0.10700899849793033,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT5', 'KRT14', 'KRT17', 'KRT19', 'KRT6A', 'AC107016.2', 'KRT8', 'KRT18']"
BRD-K52037352,SVR,"{'C': 0.1, 'kernel': 'rbf'}",0.955378063415584,-0.05347295869830582,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT5', 'KRT19', 'KRT14', 'KRT6A', 'AC107016.2', 'S100A11', 'MTND1P23']"
BRD-K55116708,CatBoostRegressor,"{'depth': 8, 'iterations': 300, 'learning_rate': 0.01}",1.7721513198395424,0.0345654078038482,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT19', 'KRT5', 'KRT6A', 'AC107016.2', 'KRT14', 'LCN2', 'KRT18']"
BRD-K55473186,RandomForestRegressor,"{'max_depth': 3, 'n_estimators': 300}",1.116005131235233,0.0021569545755475428,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'AC107016.2', 'KRT19', 'KRT8', 'KRT18', 'KRT5', 'KRT6A', 'AC107016.1', 'KRT17']"
BRD-K58730230,RandomForestRegressor,"{'max_depth': 3, 'n_estimators': 200}",0.74653304616557,0.06303879250037236,"['MT-CO1', 'MT-CO2', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'RP5-857K21.7', 'KRT5', 'MTND1P23', 'KRT17', 'KRT19', 'MT-TS1', 'KRT14', 'MMP7']"
BRD-K61166597,RandomForestRegressor,"{'max_depth': 7, 'n_estimators': 300}",1.7103531800287943,0.3241189641304322,"['MT-CO1', 'MT-CO2', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT19', 'KRT5', 'KRT14', 'KRT6A', 'AC107016.2', 'LCN2', 'KRT18']"
BRD-K63431240,RandomForestRegressor,"{'max_depth': 3, 'n_estimators': 100}",1.6924776492037121,0.0524352770371348,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT19', 'KRT5', 'KRT6A', 'KRT14', 'LCN2', 'AC107016.2', 'MT-TS1']"
BRD-K64610608,Ridge,{'alpha': 1000.0},1.1593269442379308,-0.04778188528902505,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT17', 'KRT8', 'KRT18', 'LCN2', 'MT-TS1', 'KRT5']"
BRD-K66453893,RandomForestRegressor,"{'max_depth': 7, 'n_estimators': 100}",1.0680382634645589,0.319376091443233,"['MT-CO1', 'MT-CO2', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'AC107016.2', 'KRT19', 'KRT5', 'KRT8', 'KRT18', 'KRT14', 'KRT6A']"
BRD-K66532283,CatBoostRegressor,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.05}",1.1738838429360492,0.10227982276572112,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT5', 'KRT17', 'KRT19', 'KRT14', 'KRT6A', 'AC107016.2', 'KRT8', 'KRT18']"
BRD-K70511574,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.5}",1.5280845827215,0.3069327183658659,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'AC107016.2', 'KRT19', 'KRT8', 'KRT18', 'KRT17', 'KRT5', 'FTH1', 'AC107016.1']"
BRD-K71781559,ElasticNet,"{'alpha': 1.0, 'l1_ratio': 0.5}",1.0803420840387727,-0.030812136972449444,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'AC107016.2', 'KRT17', 'KRT19', 'KRT18', 'KRT8', 'KRT5', 'KRT6A', 'AC107016.1']"
BRD-K71935468,RandomForestRegressor,"{'max_depth': 5, 'n_estimators': 100}",1.4695023402980663,0.05106722797893193,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT17', 'KRT5', 'KRT8', 'KRT18', 'LCN2', 'MT-TS1']"
BRD-K75293299,CatBoostRegressor,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.01}",0.7434566826452488,-0.05932461426555147,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'RP5-857K21.7', 'MTND1P23', 'KRT19', 'MT-TS1', 'GSTP1', 'MMP7', 'CD24P4', 'SPINT2']"
BRD-K78574327,RandomForestRegressor,"{'max_depth': 3, 'n_estimators': 100}",0.7817092479003832,0.044232037267113666,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'RP5-857K21.7', 'MTND1P23', 'KRT19', 'MMP7', 'GSTP1', 'CD24P4', 'ALDH1A1', 'SPINT2']"
BRD-K79669418,SVR,"{'C': 1.0, 'kernel': 'rbf'}",1.1779804599783203,0.00647087007158309,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT5', 'KRT19', 'KRT17', 'AC107016.2', 'KRT8', 'KRT14', 'S100A11', 'KRT18']"
BRD-K80183349,GradientBoostingRegressor,"{'learning_rate': 0.01, 'n_estimators': 200}",1.1118921760802913,0.14702346588844895,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'KRT17', 'KRT5', 'AC107016.2', 'KRT14', 'KRT6A', 'KRT18', 'LCN2']"
BRD-K84807411,CatBoostRegressor,"{'depth': 4, 'iterations': 100, 'learning_rate': 0.01}",0.7822354852771064,-0.10382835084512232,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-ND1', 'MT-CYB', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'MTND1P23', 'KRT19', 'MT-TS1', 'MMP7', 'CD24P4', 'SPP1', 'LCN2', 'GSTP1']"
BRD-K85133207,CatBoostRegressor,"{'depth': 4, 'iterations': 300, 'learning_rate': 0.01}",0.9104566962210018,0.006407238224186207,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'KRT17', 'AC107016.2', 'KRT5', 'KRT8', 'KRT18', 'KRT6A', 'KRT14']"
BRD-K86535717,GradientBoostingRegressor,"{'learning_rate': 0.01, 'n_estimators': 100}",0.9091700310046922,-0.010828190566817497,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT5', 'KRT17', 'RP5-857K21.7', 'KRT14', 'MTND1P23', 'KRT19', 'MT-TS1', 'KRT6A']"
BRD-K88742110,LinearRegression,{'fit_intercept': True},1.1640148185066117,0.04316152906467963,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT17', 'KRT19', 'KRT5', 'KRT6A', 'AC107016.2', 'MT-TS1', 'KRT14', 'S100A11']"
BRD-K90370028,ElasticNet,"{'alpha': 1.0, 'l1_ratio': 0.1}",0.6487347230707118,-0.10079855890080003,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT5', 'KRT14', 'KRT17', 'KRT19', 'KRT6A', 'AC107016.2', 'KRT18', 'KRT8']"
BRD-K92856060,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.1}",1.062305067543776,0.06622249549450976,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT19', 'KRT5', 'AC107016.2', 'KRT6A', 'KRT14', 'KRT18', 'LCN2']"
BRD-K94991378,RandomForestRegressor,"{'max_depth': 3, 'n_estimators': 200}",1.425693546659245,0.0917891867119679,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT19', 'KRT17', 'AC107016.2', 'KRT5', 'KRT8', 'KRT6A', 'FTH1', 'KRT18']"
BRD-K96431673,SVR,"{'C': 0.01, 'kernel': 'poly'}",0.6512506442808914,-0.1939099522943697,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT5', 'KRT17', 'RP5-857K21.7', 'KRT14', 'MTND1P23', 'KRT19', 'MT-TS1', 'KRT6A']"
BRD-K96970199,ElasticNet,"{'alpha': 1.0, 'l1_ratio': 0.5}",0.8303617181725982,-0.12564238872386535,"['MT-CO1', 'MT-CO2', 'MT-RNR2', 'MT-ND2', 'MT-ND1', 'MT-CYB', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'RP5-857K21.7', 'KRT19', 'MTND1P23', 'MMP7', 'KRT17', 'GSTP1', 'ALDH1A1', 'SPINT2']"
BRD-K97651142,SVR,"{'C': 0.01, 'kernel': 'linear'}",2.3988588088821605,0.05743645590792423,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'KRT17', 'AC107016.2', 'KRT5', 'KRT14', 'KRT6A', 'KRT18', 'KRT8']"
BRD-K99006945,XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 3}",1.5132356867254348,-0.03736938572168236,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT5', 'AC107016.2', 'KRT19', 'KRT18', 'KRT8', 'KRT17', 'AC107016.1', 'KRT14']"
BRD-K99584050,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.92658624270577,0.01998379581247156,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'KRT17', 'KRT5', 'AC107016.2', 'FTH1', 'KRT8', 'KRT14', 'KRT18']"
BRD-M00053801,LinearRegression,{'fit_intercept': True},1.326046314683355,-0.006224286107676891,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'AC107016.2', 'KRT8', 'KRT19', 'KRT18', 'KRT5', 'KRT14', 'FTH1', 'KRT17']"
BRD1812,XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 3}",0.9585518743810437,0.15561885943424503,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'KRT17', 'AC107016.2', 'KRT5', 'KRT18', 'KRT6A', 'KRT8', 'KRT14']"
BRD1835,XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 3}",1.0768105429559882,-0.03900998238473741,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT5', 'KRT17', 'AC107016.2', 'KRT19', 'KRT14', 'KRT18', 'KRT8', 'KRT6A']"
BRD4132,LinearRegression,{'fit_intercept': True},1.2384283391073596,0.013780109124504558,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT19', 'AC107016.2', 'KRT8', 'KRT18', 'LCN2', 'KRT5', 'KRT6A']"
